Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bulgaria,BGR,818788154.863275,1001503841.99968,812942201.973002,904659791.087722,2096788700.05598,3072550961.81564,4098122930.77934,7874476255.43262,13875270456.9117,10296720633.7243,3896664559.17164,1842900000,2103810000,1788110000,1989040000,1093600000,2609370000,1562800000,2182120000,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Burkina Faso,BFA,7925950.8299,23219874.8662179,9164593.58574799,16063399.5553789,30831022.5795712,3829373.7854423,32254080.6130933,83774772.5475289,21683121.7550587,33056780.4110799,56426881.7661007,38832813.0768907,143657274.755751,329300811.215413,490264030.526046,356821732.388408,231726245.403083,390311401.377249,485895760.826348,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Burundi,BDI,238660.308306532,11683518.1913211,-11440.9127038289,..,..,44690.7076028704,584701.692574563,31593.7781888499,500245.093059071,3833208.34759484,348404.534569828,780582.003631939,3354999.1805922,604919.651526489,116727136.517749,81747197.2345183,49622865.7705811,55420.3566564864,316473.449369742,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cabo Verde,CPV,53318559.5158824,34202238.3816146,9010186.20568656,14759046.6769552,39216510.8127633,67638273.8033899,80513541.3322083,131539968.034584,191764359.163339,210903689.269434,126003552.248347,116200563.572313,102246382.223796,128009964.769677,89297443.9961387,180589795.413074,96071472.8368678,125330054.936456,110006483.429323,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cambodia,KHM,232238729.45348,118308566.310881,146481995.063845,130956363.872694,81580650.5580651,131416229.281784,379180190.600283,483209382.712787,867288538.643543,815180217.958376,928393617.348897,1404315448.8853,1538883424.90021,2003849201.69166,2068470774.00468,1853471158.09921,1822804151.25712,2475915853.65763,2788084321.65816,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cameroon,CMR,-15494743.3000537,159311347.966861,-11658187.0086996,502881968.71017,334137809.921051,67863015.1171009,243504753.307842,59069772.8495725,189330876.448617,20910875.6177364,743285027.269427,535742601.499259,652411755.806169,527394101.244601,547249169.110124,724889079.351744,694057556.551568,663789440.657371,814001700.79441,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Canada,CAN,24788755778.1258,68309240320.0149,28392596347.2415,24496718382.1588,7011850119.93988,1441912586.52448,25545319851.8862,64302242674.7711,120423072126.687,70116945930.5349,20931399830.4229,29712896615.6289,38318064818.6211,49377811366.8943,67047596417.914,64100008922.0735,61642188665.8004,34612041093.0497,27525629250.6898,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cayman Islands,CYM,6475830000,7626860000,3922820000,-195890000,-2688560000,9669090000,9505953000,24820124000,28212246000,20152558000,21142340000,8952257000,16014200000,8298842000,51047734000,20004039000,52430528000,39865060000,37433209000,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Central African Republic,CAF,5976946.5274,889074.912637505,5183898.81029522,5644286.55873559,11300000,15100000,10100000,34670000,56750000,117110000,42280000,61520000,36908455.8896391,70035157.3288679,1852792.61190451,3475007.991,3000000,7418926.34969823,17179339.6750223,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Chad,TCD,24524970.8055,115172421.542299,459866391.829084,924119210.086831,712663454.920853,466793492.149124,-99342519.3566245,-278414000,-321655000,466131000,374900000,313000000,281900000,579793037.390775,520200793.45802,-675545847.112244,559443536.818454,244487345.615055,334997123.662935,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Chile,CHL,8761016217.84,4860015667.52,4199763048.85,2549923142.41108,4026497832.75699,6797252642.36959,7462207179.80944,7586190389.76648,13474760472.5025,18473102612.1039,13855126064.8962,16019683111.6555,24149598879.9503,30292554797.5389,20824865443.2657,23736252540.8038,21050769694.5994,12373872558.9818,6418583061.10491,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,China,CHN,38753000000,42095300000,47053000000,53073618897.4036,57900937467.3864,68117272181.2194,104108693867.085,124082035618.506,156249335203.202,171534650311.569,131057052869.5,243703434558.178,280072219149.935,241213868161.42,290928431467.003,268097181064.335,242489331627.399,174749584584.051,168223583736.789,..
